"","Property ID","Host ID","Listing Title","Property Type","Listing Type","Created Date","Last Scraped Date","Country","State","City","Zipcode","Neighborhood","Metropolitan Statistical Area","Average Daily Rate","Annual Revenue LTM","Occupancy Rate LTM","Number of Bookings LTM","Number of Reviews","Overall Rating","Bedrooms","Bathrooms","Max Guests","Calendar Last Updated","Response Rate","Response Time (min)","Superhost","Cancellation Policy","Security Deposit","Cleaning Fee","Extra People Fee","Published Nightly Rate","Published Monthly Rate","Published Weekly Rate","Check-in Time","Checkout Time","Minimum Stay","Count Reservation Days LTM","Count Available Days LTM","Count Blocked Days LTM","Number of Photos","Business Ready","Instantbook Enabled","Listing URL","Listing Main Image URL","Latitude","Longitude","price_norm","photo_room_ratio"
"45925",13004500,4620594,"(7 x 9 ft.) room for 1 to 2 guests","Apartment","Private room",2016-05-13,2016-07-13,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",66,2574,0.47,6,2,5,1,1,2,2016-07-11,100,6.42,"False","Strict",150,45,NA,51,1428,357,"Flexible","10AM",1,39,44,70,31,"True","No","https://www.airbnb.com/rooms/13004500","https://a2.muscache.com/im/pictures/6d2c2cbf-7df2-46e1-9325-510404297a9a.jpg",40.7229677995996,-73.9869319222819,-149.073276268276,15.5
"45961",9528243,7231669,"Marvelous 1 Br Midtown","Apartment","Entire home/apt",2015-11-17,2016-10-04,"United States","New York","New York",10009,"Stuyvesant Town","New York-Newark-Jersey City, NY-NJ-PA Metro Area",498,5976,0.387,2,1,5,1,1,4,2016-09-30,72,813.92,"False","Strict",NA,NA,NA,498,11889,2980,"Anytime after 3PM","12PM (noon)",1,12,65,166,11,"False","No","https://www.airbnb.com/rooms/9528243","https://a2.muscache.com/im/pictures/dfecb356-7545-4d7c-b5da-9554206574ee.jpg",40.7296414298686,-73.9781311908617,346.581837798045,5.5
"45968",9991577,7117383,"Beautiful 2 story E.Village home","House","Entire home/apt",2015-12-14,2016-10-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",359.82,22669,0.36,12,6,5,1,2,4,2015-12-18,30,1440,"False","Flexible",NA,NA,NA,399,11172,2793,NA,NA,2,63,224,18,26,"False","No","https://www.airbnb.com/rooms/9991577","https://a2.muscache.com/im/pictures/8dec331e-79ee-410e-9a58-5df78938fcf0.jpg",40.7274013968419,-73.9759112276178,113.948615353532,8.66666666666667
"45990",10515875,32330,"Manhattan-E.Vill 3 bed slps 6+2","Apartment","Entire home/apt",2016-01-10,2016-02-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",339.98,39098,0.502,22,0,NA,3,2,8,2016-02-21,NA,NA,"False","Flexible",NA,130,25,175,4900,1225,NA,NA,3,115,144,15,16,"False","Yes","https://www.airbnb.com/rooms/10515875","https://a2.muscache.com/im/pictures/8b272380-2ac6-471a-b4fb-9bf80cb944cb.jpg",40.7228337389485,-73.9785714241854,-24.7256099107261,3.2
"45994",13011153,30240289,"Sweet East Village Studio","Apartment","Entire home/apt",2016-05-13,2016-05-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",131.74,3557,0.614,7,1,NA,0,1,2,2016-05-13,NA,NA,"False","Flexible",NA,60,NA,116,3248,812,NA,NA,1,27,36,90,11,"True","No","https://www.airbnb.com/rooms/13011153","https://a2.muscache.com/im/pictures/cf21df82-faa9-4151-8547-eb59be48e644.jpg",40.7270053916567,-73.9848616716852,32.2986672046702,11
"46007",10830796,56082673,"One bedroom apartment in East Ville","Apartment","Entire home/apt",2016-01-24,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",113.68,3183,0.683,3,2,5,1,1,2,2016-07-26,85,1349.56,"False","Strict",250,70,NA,169,2772,693,NA,NA,5,28,53,193,12,"False","No","https://www.airbnb.com/rooms/10830796","https://a2.muscache.com/im/pictures/be43c92b-2263-4612-a333-c83b06daca02.jpg",40.7266995946983,-73.9776983071252,-61.5032427246637,6
"46023",12792296,37586073,"Pet Friendly East Village Studio","Apartment","Entire home/apt",2016-05-01,2016-05-07,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",85,935,0.367,1,0,NA,0,1,1,2016-04-30,NA,NA,NA,"Flexible",NA,NA,NA,85,2380,595,NA,NA,1,11,20,152,5,"False","No","https://www.airbnb.com/rooms/12792296","https://a2.muscache.com/im/pictures/8bf021b7-e02a-409c-965c-b21acff02fc7.jpg",40.7246314272832,-73.9843609260389,4.40461954460337,5
"46133",12494160,1158064,"Luxury East Village Launchpad","Apartment","Entire home/apt",2016-04-16,2016-05-22,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",242.36,6786,0.459,4,1,5,1,1,2,2016-05-10,NA,NA,"False","Flexible",NA,80,NA,150,4200,1050,NA,NA,1,28,155,0,6,"True","Yes","https://www.airbnb.com/rooms/12494160","https://a2.muscache.com/im/pictures/cb25652e-2e31-410f-abad-7737970e29f4.jpg",40.724270881232,-73.9862402782612,83.5015545725412,3
"46159",9513152,20019653,"A nice private room in East Village","Apartment","Private room",2015-11-16,2016-01-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",80.71,565,0.368,1,0,NA,1,1,2,2015-12-05,NA,NA,NA,"Strict",100,40,NA,70,1960,490,"12:00 PM (noon)","1:00 PM",1,7,31,175,7,"False","No","https://www.airbnb.com/rooms/9513152","https://a2.muscache.com/ac/pictures/d8aa9906-a833-4c27-a832-251157a70e6a.jpg",40.7230923333742,-73.9828537898547,-86.3793653386333,3.5
"46203",13040171,9460317,"Cozy room in East Village","Apartment","Private room",2016-05-15,2016-08-13,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",100.36,1405,0.778,4,1,4,1,1,2,2016-07-12,87,92.34,"False","Moderate",NA,20,NA,100,2800,700,NA,"12PM (noon)",3,14,4,135,12,"True","No","https://www.airbnb.com/rooms/13040171","https://a2.muscache.com/im/pictures/528bc252-59ea-46be-90e7-f592d103e4ba.jpg",40.7290638089586,-73.9800556677061,-76.1807802134922,6
