"","Property ID","Host ID","Listing Title","Property Type","Listing Type","Created Date","Last Scraped Date","Country","State","City","Zipcode","Neighborhood","Metropolitan Statistical Area","Average Daily Rate","Annual Revenue LTM","Occupancy Rate LTM","Number of Bookings LTM","Number of Reviews","Overall Rating","Bedrooms","Bathrooms","Max Guests","Calendar Last Updated","Response Rate","Response Time (min)","Superhost","Cancellation Policy","Security Deposit","Cleaning Fee","Extra People Fee","Published Nightly Rate","Published Monthly Rate","Published Weekly Rate","Check-in Time","Checkout Time","Minimum Stay","Count Reservation Days LTM","Count Available Days LTM","Count Blocked Days LTM","Number of Photos","Business Ready","Instantbook Enabled","Listing URL","Listing Main Image URL","Latitude","Longitude","price_norm","photo_room_ratio"
"6767",3479614,3395227,"Charming East Village Apartment","Apartment","Entire home/apt",2014-07-02,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",194.8,48896,0.763,40,63,4.7,1,1,2,2016-08-04,100,8.04,"False","Flexible",200,75,NA,254,5012,1253,"Anytime after 12PM (noon)","10AM",5,251,78,37,16,"False","No","https://www.airbnb.com/rooms/3479614","https://a1.muscache.com/im/pictures/59346469/8cbaf6cc_original.jpg",40.7240162051365,-73.9877101549912,28.8870992771776,8
"6780",155158,671139,"SPACIOUS 1 BR LOFT IN EAST VILLAGE","Apartment","Entire home/apt",2011-06-25,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",191.06,57699,0.825,36,102,4.8,1,1,3,2016-10-29,100,321.84,"True","Strict",750,75,25,260,3200,1295,"Anytime after 2PM","12PM (noon)",3,302,64,0,24,"False","No","https://www.airbnb.com/rooms/155158","https://a0.muscache.com/im/pictures/981944/c6f2c08b_original.jpg",40.7266660254938,-73.9826357081707,-3.54854845113621,12
"6786",707396,3636235,"2BR PENTHOUSE w Private Roofdeck","Apartment","Private room",2012-09-21,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",336.77,63987,0.841,50,89,4.8,1,1,2,2016-11-01,100,16.27,"False","Strict",5000,150,50,339,5292,1323,"Anytime after 4PM","11AM",30,190,36,140,21,"False","No","https://www.airbnb.com/rooms/707396","https://a1.muscache.com/im/pictures/55490610/7ec973c0_original.jpg",40.725580292651,-73.9792889158871,147.017777980482,10.5
"6793",2085632,10650502,"2 Bedroom+2 Bath in East Village","Apartment","Private room",2013-12-17,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",470.84,116769,0.883,60,80,4.6,1,2,8,2016-11-01,100,0.05,"False","Strict",300,125,10,571,9366,2654,"Anytime after 3PM","11AM",1,248,33,85,27,"False","No","https://www.airbnb.com/rooms/2085632","https://a0.muscache.com/im/pictures/96715764/98843b45_original.jpg",40.7224673452325,-73.9792328097086,207.60439596566,9
"6837",165254,18374,"Bright &amp; Modern Downtown Studio","Apartment","Entire home/apt",2011-07-06,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",161.23,55302,0.937,67,155,4.8,1,1,2,2016-10-19,100,636.1,"False","Strict",100,65,30,224,3900,973,"Anytime after 2PM","12PM (noon)",3,343,23,0,12,"False","No","https://www.airbnb.com/rooms/165254","https://a1.muscache.com/im/pictures/1046182/12dcb65f_original.jpg",40.7241039369462,-73.9862931881731,-13.9532427246637,6
"6942",500845,1336370,"Trendy 1BR in the East Village","Apartment","Entire home/apt",2012-05-25,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",218.28,59591,0.832,50,86,4.5,1,1,3,2016-10-27,100,0.05,"False","Strict",300,125,25,345,6160,1500,"Anytime after 3PM","11AM",4,273,55,38,18,"False","Yes","https://www.airbnb.com/rooms/500845","https://a2.muscache.com/im/pictures/58873255/91d43601_original.jpg",40.7268646940019,-73.9796986894977,33.3841044121002,9
"6992",2545040,13030127,"East Village - Private Studio Apt","Apartment","Entire home/apt",2014-03-09,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",164.81,57684,0.959,112,152,4.4,0,1,3,2016-10-31,100,37.62,"False","Strict",NA,39,49,138,2772,693,"Anytime after 2PM","12PM (noon)",1,350,15,1,11,"False","Yes","https://www.airbnb.com/rooms/2545040","https://a1.muscache.com/im/pictures/98286098/3d6bf7b4_original.jpg",40.7288861681196,-73.9837954648364,58.7565227707017,11
"7194",5562710,16155254,"CLEAN &amp; COZY EAST VILLAGE PAD","Apartment","Entire home/apt",2015-03-05,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",171.32,53110,0.852,59,47,4.5,1,1,3,2016-02-17,100,140.57,"False","Strict",100,75,35,245,4760,1190,"Anytime after 3PM","11AM",1,310,54,2,24,"False","Yes","https://www.airbnb.com/rooms/5562710","https://a0.muscache.com/im/pictures/73715364/6a6c6315_original.jpg",40.7309681274239,-73.9817779377818,-23.2885484511362,12
"7205",180822,257885,"Heart of East Village Lots of Light","Apartment","Entire home/apt",2011-07-24,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",185.24,54831,0.809,52,118,4.1,1,1,5,2016-10-26,100,0.03,"False","Flexible",NA,100,25,275,4900,1050,"Anytime after 3PM","12PM (noon)",2,296,70,0,13,"False","Yes","https://www.airbnb.com/rooms/180822","https://a2.muscache.com/im/pictures/22e8da74-5ee1-4cff-aaf1-ed10448d7987.jpg",40.7282361280034,-73.9832566223241,24.1834257087959,6.5
"7232",2079253,226697,"Privade room in a big Loft EastVillage-heart of NY","Apartment","Private room",2013-12-15,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",157.57,50265,0.872,46,75,4.4,1,1,2,2016-11-01,100,0.02,"False","Strict",350,50,30,195,4060,1015,"Anytime after 2PM","12PM (noon)",5,319,47,0,17,"False","Yes","https://www.airbnb.com/rooms/2079253","https://a0.muscache.com/im/pictures/28399881/e072633e_original.jpg",40.7274024278471,-73.9790624336571,-25.7071201106939,8.5
"7250",4567765,1277144,"★3BR/2BA Exclusive East Village Penthouse w/ Terr★","Entire Floor","Entire home/apt",2014-10-23,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",488.9,106092,0.889,60,25,4.7,3,2,8,2016-11-01,100,1.46,"False","Strict",500,150,50,449,8372,2093,"Anytime after 3PM","10AM",2,217,27,122,31,"False","Yes","https://www.airbnb.com/rooms/4567765","https://a0.muscache.com/im/pictures/57843389/b870f321_original.jpg",40.7280858454774,-73.9818782394913,84.1673140205176,6.2
"7259",538344,2644519,"East Village Oasis! Entire 1Bd Apt","Apartment","Entire home/apt",2012-06-14,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",209.91,43662,0.656,43,60,4.5,1,1,4,2016-10-22,100,66.35,"False","Strict",NA,75,35,270,5460,1365,"4PM - 12AM (midnight)","11AM",3,208,109,49,20,"False","No","https://www.airbnb.com/rooms/538344","https://a2.muscache.com/im/pictures/39385866/5961406b_original.jpg",40.729239340807,-73.981134617406,21.776553457688,10
"7265",560078,2753256,"Gorgeous Unique Garden-Terrace-Apt.","Apartment","Entire home/apt",2012-06-26,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",250.38,41813,0.64,21,37,4.8,2,1,2,2016-11-01,100,143.67,"True","Strict",750,100,50,395,5000,1400,NA,NA,3,167,123,76,27,"True","No","https://www.airbnb.com/rooms/560078","https://a0.muscache.com/im/pictures/6883259/f6e0ea26_original.jpg",40.7227430741988,-73.9793410251735,-25.7291643776106,9
"7497",8863296,27657527,"Incredible 750sqft East Village 1BR","Apartment","Entire home/apt",2015-10-11,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",385.15,76260,0.943,24,1,5,1,1,2,2016-06-24,100,200.4,"False","Moderate",NA,120,NA,420,8400,2100,NA,NA,2,198,22,146,23,"False","No","https://www.airbnb.com/rooms/8863296","https://a2.muscache.com/im/pictures/15e07381-0fb2-4c38-8705-a87de22a401d.jpg",40.7241704404371,-73.9839073223487,199.935989013938,11.5
"7563",1027808,5655889,"1300 sq/ft East Village NYC Loft","Apartment","Entire home/apt",2013-03-27,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",447.88,55985,0.556,19,29,4.8,2,1.5,5,2016-10-31,100,39.87,"False","Strict",1000,150,75,449,8372,2093,"12PM (noon) - 6PM","12PM (noon)",2,125,139,102,24,"False","No","https://www.airbnb.com/rooms/1027808","https://a1.muscache.com/im/pictures/15446804/1bc4fd9b_original.jpg",40.7235124727617,-73.9828306598125,153.875096954912,6.85714285714286
"7570",4142752,21490002,"Tidy, quiet gem in East Village","Apartment","Entire home/apt",2014-09-10,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",169.05,46827,0.899,83,116,4.8,1,1,2,2016-10-21,100,4.62,"False","Strict",NA,50,NA,225,4750,1225,NA,"12PM (noon)",30,277,31,58,13,"False","No","https://www.airbnb.com/rooms/4142752","https://a0.muscache.com/im/pictures/73322271/4f5a0283_original.jpg",40.7283047935941,-73.9800497895456,-7.75201820186965,6.5
"7583",233963,1143899,"Adorable East Village studio","Apartment","Entire home/apt",2011-09-28,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",151.44,45583,0.843,34,104,4.7,1,1,2,2016-09-08,100,183.12,"False","Moderate",200,50,NA,140,3500,1000,NA,NA,4,301,56,9,8,"False","No","https://www.airbnb.com/rooms/233963","https://a1.muscache.com/im/pictures/2310131/ffb681e9_original.jpg",40.7254183880514,-73.9829697281372,-9.49237882797107,4
"7641",1954450,2266169,"Sunny Designer&#x27;s 1BD East Village","Apartment","Entire home/apt",2013-11-17,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",179.13,49083,0.808,57,95,4.7,1,1,2,2016-11-01,100,242.57,"False","Strict",500,100,100,230,5000,910,"Anytime after 4PM","11AM",3,274,65,27,37,"True","No","https://www.airbnb.com/rooms/1954450","https://a2.muscache.com/im/pictures/28558288/cde9d8e9_original.jpg",40.7218680992704,-73.9808318369936,-45.6559291315119,18.5
"7649",911092,4888892,"Avenue A Apartment","Apartment","Entire home/apt",2013-01-27,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",144.66,34575,0.729,27,66,4.5,1,1,4,2016-10-25,100,18.42,"False","Strict",300,65,25,210,2900,1100,"Anytime after 3PM","12PM (noon)",2,239,89,38,27,"False","No","https://www.airbnb.com/rooms/911092","https://a0.muscache.com/im/pictures/13604526/36ac8130_original.jpg",40.723000895385,-73.9786139347155,-54.8048748827543,13.5
"7656",1432914,1157127,"Quiet 1 BR in heart of East Village","Apartment","Entire home/apt",2013-07-23,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",138.02,42786,0.963,31,68,4.7,1,1,2,2016-10-19,100,178.82,"False","Strict",200,60,NA,199,3699,959,NA,NA,10,310,12,44,13,"False","No","https://www.airbnb.com/rooms/1432914","https://a1.muscache.com/im/pictures/24257241/c6894776_original.jpg",40.7247061648744,-73.9868015937645,-38.7820182018697,6.5
"7730",2026952,10411885,"Beautiful 2 bedroom in east village","Apartment","Entire home/apt",2013-12-03,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",151.62,39119,0.705,28,28,4.3,2,1,3,2016-10-30,69,1271.84,"False","Moderate",150,130,30,258,4200,1250,NA,NA,3,258,108,0,5,"False","No","https://www.airbnb.com/rooms/2026952","https://a1.muscache.com/im/pictures/42822230/cd89f16e_original.jpg",40.7295549605301,-73.9791943658732,-71.9670424145121,1.66666666666667
"7783",4530720,23490547,"ONE BEDROOM APARTMENT FOR YOU","Apartment","Entire home/apt",2014-10-18,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",192.7,19655,0.379,17,25,3.8,1,1,3,2016-11-01,69,121.66,"False","Strict",NA,100,NA,289,5292,1323,"Anytime after 3PM","11AM",3,102,228,36,22,"False","Yes","https://www.airbnb.com/rooms/4530720","https://a0.muscache.com/im/pictures/56897456/61ab848e_original.jpg",40.7234544880191,-73.9791347785067,1.32900250327593,11
"7790",896777,2415588,"Sunny Studio Apt w/ Alcove Bedroom","Apartment","Entire home/apt",2013-01-19,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",139.67,24862,0.836,12,29,4.3,1,1,2,2016-01-18,NA,NA,"False","Moderate",NA,70,NA,205,3780,920,NA,NA,5,178,35,153,8,"False","No","https://www.airbnb.com/rooms/896777","https://a1.muscache.com/im/pictures/13036738/ac9498f7_original.jpg",40.7281667398214,-73.9834471197629,-21.2623788279711,4
"7809",1743068,5590678,"Great Central Village Apartment","Apartment","Entire home/apt",2013-10-01,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",154.72,38835,0.701,40,86,4.5,1,1,2,2016-10-25,100,401.47,"False","Moderate",NA,25,NA,149,4172,1043,NA,NA,4,251,107,8,15,"False","No","https://www.airbnb.com/rooms/1743068","https://a0.muscache.com/im/pictures/68112570/2c60a4fe_original.jpg",40.7282869805388,-73.9823503068134,-17.5438071684134,7.5
"7813",220946,1144415,"Newly renovated East Village Executive 1BR","Apartment","Entire home/apt",2011-09-11,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",153.93,45255,0.824,58,77,4.6,1,1,2,2016-11-01,100,15.18,"False","Strict",350,99,45,245,3108,999,"Anytime after 4PM","11AM",3,294,63,9,38,"False","No","https://www.airbnb.com/rooms/220946","https://a2.muscache.com/im/pictures/2308659/0829d21d_original.jpg",40.7222893344321,-73.9790129600223,-63.3414051320209,19
"7841",1949657,3940219,"sunny apartment in east village","Apartment","Entire home/apt",2013-11-16,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",199.41,56832,0.869,44,82,4.9,0,1,2,2016-10-27,100,731.45,"True","Strict",500,75,NA,270,4000,1200,"Anytime after 2PM","11AM",5,285,43,38,18,"True","No","https://www.airbnb.com/rooms/1949657","https://a0.muscache.com/im/pictures/49385114/3b075cd8_original.jpg",40.7244967772212,-73.9827245079197,72.8917949535622,18
"7847",29414,125857,"Modern &amp; Quiet Studio Exposed Brick","Apartment","Entire home/apt",2010-05-16,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",189.68,33763,0.886,28,83,4.6,0,1,2,2016-11-01,100,569.37,"False","Strict",300,85,NA,270,5180,1295,"8PM - 12AM (midnight)","3PM",4,178,24,164,10,"False","No","https://www.airbnb.com/rooms/29414","https://a0.muscache.com/im/pictures/3976460/b2a24f50_original.jpg",40.7246666044697,-73.9871445983483,85.2452982479077,10
"7860",5300082,16155254,"CLEAN AND STYLISH EAST VILLAGE PAD","Apartment","Entire home/apt",2015-02-06,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",156.8,45785,0.804,61,72,4.3,0,1,2,2016-10-27,100,140.57,"False","Strict",100,60,NA,220,4000,1120,"Anytime after 3PM","11AM",1,292,71,3,32,"False","No","https://www.airbnb.com/rooms/5300082","https://a2.muscache.com/im/pictures/68206727/cf0d08ee_original.jpg",40.7295553366643,-73.9816647986562,16.7522377493747,32
"7966",1163484,1622421,"Artist 1Br Apartment East Village","Apartment","Entire home/apt",2013-05-12,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",163.33,43609,0.814,53,62,4.3,1,1,2,2016-10-21,100,67.19,"False","Strict",300,70,50,248,3500,1246,"Anytime after 2PM","12PM (noon)",3,267,61,38,12,"False","Yes","https://www.airbnb.com/rooms/1163484","https://a2.muscache.com/im/pictures/17501776/b38399ed_original.jpg",40.7291436306776,-73.9806034603416,-11.8532427246636,6
"8132",4057099,20798067,"Stylish + Roomy East Village Studio","Apartment","Entire home/apt",2014-09-03,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",175.12,25917,0.937,21,43,4,0,1,3,2016-08-04,100,783.41,"False","Strict",NA,50,20,199,4200,1000,"Anytime after 3PM","12PM (noon)",1,148,10,208,15,"False","No","https://www.airbnb.com/rooms/4057099","https://a1.muscache.com/im/pictures/53272924/90ca718f_original.jpg",40.7295068859994,-73.9801511868994,62.5914208618775,15
"8212",320489,1642126,"2 Bedroom East Village Apartment","Apartment","Entire home/apt",2012-01-21,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",259.52,52423,0.94,41,61,4.8,2,1,5,2016-11-01,100,1.98,"True","Strict",500,50,35,349,5500,2093,"2PM - 11PM","10AM",4,202,13,151,12,"True","No","https://www.airbnb.com/rooms/320489","https://a0.muscache.com/im/pictures/60205413/1bc6270a_original.jpg",40.7245624000966,-73.983256275038,7.69246778048017,4
"8219",70609,72062,"Great 3 BR/2 Bath Duplex with Private Patio!","Apartment","Entire home/apt",2011-01-21,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",518.85,84573,0.652,41,26,4.7,3,2,8,2016-11-01,100,82.42,"False","Strict",500,NA,25,500,14000,3689,NA,NA,3,163,98,105,40,"False","No","https://www.airbnb.com/rooms/70609","https://a1.muscache.com/im/pictures/85001565/932c6501_original.jpg",40.7254159788968,-73.9798623944223,99.5483347256634,8
"8294",8301289,37978338,"East Village 3 bedroom/4 beds","Apartment","Entire home/apt",2015-09-08,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",383.11,111486,0.797,75,49,4.3,3,1,6,2016-10-31,100,15.72,"False","Strict",300,90,20,385,8260,2065,"Anytime after 4PM","11AM",1,291,74,1,6,"False","No","https://www.airbnb.com/rooms/8301289","https://a0.muscache.com/im/pictures/106017289/3ce481de_original.jpg",40.7232310018963,-73.9811375772912,82.6174301022545,1.5
"8316",60680,292630,"The gem of the East Village","Apartment","Entire home/apt",2010-11-17,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",146.43,18597,0.841,17,51,4.2,1,1,5,2016-10-29,100,348.48,"False","Strict",300,150,30,249,2800,693,NA,NA,1,127,37,202,13,"False","No","https://www.airbnb.com/rooms/60680","https://a2.muscache.com/im/pictures/e74233f8-a87e-4fbe-bf2a-11609dfbf634.jpg",40.7265375354087,-73.9804895367845,-30.3720182018697,6.5
"8327",1844094,9634812,"Charming Private Studio with Garden-View Balcony","Apartment","Entire home/apt",2013-10-25,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",161.98,45354,0.821,42,39,3.9,0,1,2,2016-11-01,100,2.66,"False","Strict",450,99,50,239,3920,980,"Anytime after 3PM","12PM (noon)",2,280,61,25,8,"False","No","https://www.airbnb.com/rooms/1844094","https://a2.muscache.com/im/pictures/56646137-643f-4ac8-9113-e7e79a5d9eb6.jpg",40.7243137438298,-73.9780419826486,60.7828492023197,8
"8431",2413272,2549817,"Cozy studio in East Village oasis","Apartment","Entire home/apt",2014-02-16,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",184.53,42073,0.86,29,58,4.6,0,1,2,2016-11-01,100,3.63,"False","Strict",800,105,NA,290,3400,1100,NA,NA,4,228,37,101,14,"True","No","https://www.airbnb.com/rooms/2413272","https://a1.muscache.com/im/pictures/62898524/43552201_original.jpg",40.725190562516,-73.9783534525597,64.4868968623864,14
"8450",1106320,4899404,"Charming Sunny East Village Studio","Apartment","Entire home/apt",2013-04-23,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",155.73,40958,0.848,53,90,4.8,0,1,4,2016-11-01,89,637.23,"False","Moderate",500,50,25,200,4000,1050,"Anytime after 3PM","11AM",3,263,47,56,6,"False","No","https://www.airbnb.com/rooms/1106320","https://a2.muscache.com/im/pictures/16638318/53e12131_original.jpg",40.7270786666634,-73.9851455875266,65.5461621446001,6
"8498",2193902,1587234,"East Village~Organic Living","Apartment","Entire home/apt",2014-01-09,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",210.43,25251,0.451,21,24,4.7,1,1,3,2016-10-04,100,546.98,"False","Strict",500,100,15,295,5460,1365,"Anytime after 3PM","11AM",2,120,239,7,22,"False","No","https://www.airbnb.com/rooms/2193902","https://a0.muscache.com/im/pictures/57814370/0eacf1f0_original.jpg",40.7242209971154,-73.9821112324648,19.0590025032759,11
"8601",272044,1195295,"Luxury Designer Downtown Apartment","Apartment","Entire home/apt",2011-11-19,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",355.54,40176,0.358,14,38,4.6,1,1,2,2016-10-22,90,107.52,"False","Strict",500,99,49,498,11172,2793,"Anytime after 3PM","11AM",3,113,234,19,36,"False","No","https://www.airbnb.com/rooms/272044","https://a0.muscache.com/im/pictures/50140082/5ff113ee_original.jpg",40.7216587663505,-73.9822169950276,141.506145822391,18
"8617",3540722,17820464,"Modern Bohemian Studio","Apartment","Entire home/apt",2014-07-08,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",128.84,39039,0.984,98,153,4.6,0,1,2,2016-10-31,100,43.09,"False","Strict",NA,14,20,159,4060,1015,"Flexible",NA,1,303,5,58,12,"False","No","https://www.airbnb.com/rooms/3540722","https://a1.muscache.com/im/pictures/50787299/f99e1b44_original.jpg",40.7245362640388,-73.9783576535699,21.1677472934956,12
"8707",6656880,155225,"Spacious Home with Private Backyard","Apartment","Entire home/apt",2015-06-01,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",302.32,35674,0.482,13,2,5,2,1,5,2016-09-13,100,481.5,"False","Strict",100,80,NA,360,8000,2000,"Anytime after 3PM","12PM (noon)",1,118,248,0,29,"False","No","https://www.airbnb.com/rooms/6656880","https://a0.muscache.com/im/pictures/92149404/c7b86a0e_original.jpg",40.7257665699592,-73.9836400324537,32.1065841446744,9.66666666666667
"8854",3384720,17076357,"Spacious New1BR w/Balcony E.VILLAGE","Apartment","Entire home/apt",2014-06-22,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",276.37,31506,0.481,16,31,5,1,1,2,2016-11-01,100,15.52,"True","Strict",1000,160,100,359,5572,1393,"Anytime after 2PM","12PM (noon)",1,114,244,8,88,"False","No","https://www.airbnb.com/rooms/3384720","https://a1.muscache.com/im/pictures/42881926/4aa19ddc_original.jpg",40.7283727015054,-73.9798606652284,-21.8401789923234,44
"9052",548609,356208,"LOFT STUDIO in the East Village NYC","Apartment","Entire home/apt",2012-06-20,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",138.24,34697,0.705,46,62,4.4,1,1,3,2016-11-01,100,23.23,"True","Strict",200,70,20,169,3300,693,"Anytime after 3PM","11AM",3,251,105,10,10,"False","No","https://www.airbnb.com/rooms/548609","https://a2.muscache.com/im/pictures/4ffbed98-d717-4aed-a2be-8c1f348d39eb.jpg",40.7261715540327,-73.9800241992262,-33.7056917702515,5
"9120",1890143,5348155,"Peaceful, Sunny One-Bed Retreat","Apartment","Entire home/apt",2013-11-04,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",219.84,49025,0.69,31,48,4.6,1,1,2,2016-10-31,100,46.34,"False","Moderate",200,90,NA,285,5460,1365,"Anytime after 3PM","12PM (noon)",3,223,100,43,8,"False","No","https://www.airbnb.com/rooms/1890143","https://a1.muscache.com/im/pictures/27441935/ebf0083d_original.jpg",40.7300304027991,-73.9794829641483,58.907621172029,4
"9130",853405,4456209,"One-bedroom flat in E. Village","Apartment","Entire home/apt",2012-12-23,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",168.12,34970,0.846,36,68,4.5,1,1,3,2016-10-20,80,1113.66,"False","Moderate",300,95,20,252,3500,1000,"Anytime after 12PM (noon)","12PM (noon)",30,208,41,117,12,"False","No","https://www.airbnb.com/rooms/853405","https://a0.muscache.com/im/pictures/18287098/42fd741d_original.jpg",40.7278952316918,-73.9835307862009,0.712519263204721,6
"9445",902482,4822847,"Modern E. Village 2BR w/Roof Deck","Apartment","Entire home/apt",2013-01-22,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",330,1980,0.222,1,13,4.6,2,1,4,2016-10-03,100,416.52,"False","Moderate",500,80,50,480,11200,2800,"Anytime after 12PM (noon)","1PM",2,6,237,62,12,"False","No","https://www.airbnb.com/rooms/902482","https://a0.muscache.com/im/pictures/17431323/5f416583_original.jpg",40.7287133559836,-73.983196277858,95.0815292450453,4
"9540",893413,4751930,"Spectacular Former Synagogue","Townhouse","Entire home/apt",2013-01-17,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",2708.76,121894,0.247,18,7,4.7,3,2.5,6,2016-11-02,100,6.19,"False","Strict",5000,375,175,2875,45000,17500,"5PM - 9PM","11AM",5,45,267,54,49,"False","No","https://www.airbnb.com/rooms/893413","https://a2.muscache.com/im/pictures/12967556/e4b49e38_original.jpg",40.7266757608893,-73.9817912837101,2243.00399085502,8.90909090909091
"9562",10487548,587918,"Stylish peaceful oasis","Apartment","Entire home/apt",2016-01-09,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",222.91,9585,0.281,7,9,4.7,1,1,2,2016-10-17,100,133.94,"False","Strict",500,150,NA,350,5600,1400,NA,NA,1,43,231,0,34,"False","No","https://www.airbnb.com/rooms/10487548","https://a2.muscache.com/im/pictures/1c1c7793-3129-4bf8-82be-53ff17d7acc2.jpg",40.723149885712,-73.9825074016054,12.1136967768033,17
"9604",4103007,1826293,"Perfect NYC Summer Stay!!","Apartment","Entire home/apt",2014-09-07,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",268.97,15600,0.734,7,4,5,1,1,2,2016-07-18,100,154.78,"False","Strict",NA,100,NA,350,7000,1750,NA,NA,1,58,39,269,14,"False","No","https://www.airbnb.com/rooms/4103007","https://a2.muscache.com/im/pictures/72021142/aa99acd6_original.jpg",40.7289305864642,-73.9796668359415,90.5492063209243,7
